"feature","mean_shap","mean_abs_shap","mean_abs_shap_frac_of_total","pct_positive","descriptive_corr_x_vs_shap_marginal_naive"
"grade8",-0.00621255238850911,21.6548270992204,0.6769482552384,0.5,NA
"poverty_rate",1.10462491502803,1.81151380831851,0.0566294575460096,0.823529411764706,-0.94685624824733
"bach_or_higher_rate",0.956107616579781,1.45514085649641,0.045488936920065,0.534313725490196,0.761716911922078
"internet_rate",-1.16709854064838,1.16866609916164,0.0365334931172099,0.0147058823529412,-0.676025982574895
"pct_black",-0.103787123908143,1.1320916432271,0.0353901446149227,0.617647058823529,-0.82483151362165
