"Grade","Model","R2..Within.for.FE.models.","Adjusted_R2","RMSE","MAE","AIC","BIC","N"
"Grade 4","Model 1 (OLS)",0.458440884140391,0.436223074258971,4.31018459485014,3.29018402893042,1195.00706046058,1228.18826039903,204
"Grade 4","Model 2 (FE)",0.189626650290346,-0.15039013979762,1.72860071200943,1.39093546253109,NA,NA,204
"Grade 4","Model 3 (FE + Interactions)",0.196022223273431,-0.165767776253525,1.72176602823743,1.39348741389329,NA,NA,204
"Grade 8","Model 1 (OLS)",0.580888243031424,0.563693914540406,3.87945822995899,2.94696228006726,1152.05069061974,1185.23189055818,204
"Grade 8","Model 2 (FE)",0.285426853157304,-0.0143940476158546,1.34946551039431,1.09119391234591,NA,NA,204
"Grade 8","Model 3 (FE + Interactions)",0.328085269881282,0.0257236413278584,1.30856567621145,1.05074975040741,NA,NA,204
