"feature","mean_shap","mean_abs_shap","mean_abs_shap_frac_of_total","pct_positive","descriptive_corr_x_vs_shap_marginal_naive"
"child_poverty_rate",1.31592221186478,1.71077422946509,0.174757148140922,0.843137254901961,-0.964508321118908
"year_scaled",-1.54498267874998,1.54498267874998,0.157821389997142,0,-0.0673102659334384
"bach_or_higher_rate",0.881424857340023,1.45226763137708,0.148350463331555,0.509803921568627,0.739713761628092
"median_income",-1.10259865819221,1.17415841568864,0.119941353252421,0.156862745098039,-0.421201748354881
"pct_black",0.054676073035522,0.892050489781575,0.0911237712767534,0.647058823529412,-0.550246189191391
"pct_hispanic",-0.181562569897591,0.635844667386075,0.0649521128031881,0.745098039215686,-0.795693026519981
"gini_coefficient",0.197921153258386,0.46980272155876,0.0479907765702803,0.696078431372549,0.409655128662486
"unemployment_rate",-0.340927020936529,0.368048849444855,0.0375965257120112,0.0882352941176471,0.101608410405267
"stateALASKA",0.0831466342012088,0.290677749789229,0.029692997302788,0.980392156862745,NA
"stateMASSACHUSETTS",-0.0363063419274255,0.173076459444037,0.0176799182158741,0.0196078431372549,NA
"internet_rate",0.120725292576632,0.127930646720023,0.0130682322632399,0.911764705882353,0.015055469586188
"stateFLORIDA",-0.0251188091933727,0.121174457099508,0.0123780813303785,0.0196078431372549,NA
"no_computer_rate",-0.0134703017047643,0.0957017436283458,0.00977602041260153,0.362745098039216,-0.383532492016815
"stateKENTUCKY",-0.0288389455892292,0.0857470294862401,0.00875913728210427,0.0196078431372549,NA
"stateINDIANA",-0.00518308528790287,0.0810981110176619,0.00828424601970642,0.0196078431372549,NA
"stateHAWAII",0.011989359889983,0.0681157417266684,0.00695808515386518,0.980392156862745,NA
"stateILLINOIS",0.00893340544665561,0.0633548560241858,0.00647175633638533,0.980392156862745,NA
"stateMICHIGAN",0.00326922278413001,0.0622289359533027,0.00635674257405874,0.980392156862745,NA
"statePENNSYLVANIA",-0.00652367097563019,0.0519970291860256,0.00531154396403979,0.0196078431372549,NA
