"feature","mean_shap","mean_abs_shap","mean_abs_shap_frac_of_total","pct_positive","descriptive_corr_x_vs_shap_marginal_naive"
"stateNEW MEXICO",0.0193141833057298,0.0418449727745325,0.00427450214070521,0.980392156862745,NA
"stateNORTH CAROLINA",-0.00182525578922793,0.0279925059362808,0.00285946001669187,0.0196078431372549,NA
"stateOHIO",-0.00174412848975729,0.0267289159819484,0.00273038315018582,0.0196078431372549,NA
"stateNEBRASKA",-0.00227438631997097,0.0267140834920985,0.00272886799781717,0.0196078431372549,NA
"stateWISCONSIN",0.00127780974349555,0.0210830728139947,0.00215365512033294,0.980392156862745,NA
"stateCOLORADO",0.00864065728405965,0.0181535349236619,0.00185440015245478,0.980392156862745,NA
"stateOKLAHOMA",-0.000518144793151056,0.016805581739355,0.00171670550504909,0.980392156862745,NA
"stateWYOMING",-0.00213212105354258,0.0154485116146651,0.00157807955386662,0.0196078431372549,NA
"stateGEORGIA",-0.00471859857640868,0.0140392947713753,0.00143412676780994,0.0196078431372549,NA
"stateMARYLAND",-0.0056302393307252,0.0131705418644546,0.00134538286587493,0.0196078431372549,NA
"stateRHODE ISLAND",-0.00450836608697678,0.0110504439228452,0.00112881292714552,0.0196078431372549,NA
"stateOREGON",0.000281447188600021,0.010908992751045,0.00111436356091166,0.980392156862745,NA
"stateMINNESOTA",0.000361647507102758,0.0106116669371213,0.00108399145779304,0.0196078431372549,NA
"stateSOUTH DAKOTA",0.00131028156964948,0.00921139439257483,0.000940952340012149,0.980392156862745,NA
"stateNEW JERSEY",-0.00147234328209843,0.00765324092935771,0.000781785542367048,0.0196078431372549,NA
"stateSOUTH CAROLINA",0.000889562453855486,0.00705292610926371,0.000720462835875753,0.980392156862745,NA
"stateMISSISSIPPI",-0.00409202976152301,0.00670652227549284,0.000685077368259838,0.0196078431372549,NA
"stateKANSAS",0.000434610888809331,0.00497019799156845,0.000507710258748649,0.980392156862745,NA
"stateARKANSAS",0.000842855158992404,0.00492017341129409,0.000502600202240241,0.980392156862745,NA
"stateVIRGINIA",-0.001781544568218,0.00487459262184726,0.000497944083018577,0.0196078431372549,NA
"stateTEXAS",-1.39341733016658e-05,0.00469742163983813,0.000479845905587577,0.235294117647059,NA
"stateMISSOURI",7.93472669708232e-05,0.00424899296793977,0.000434038507687925,0.980392156862745,NA
"stateUTAH",0.00253687443510702,0.00395001919070423,0.000403498063613701,0.980392156862745,NA
"stateWASHINGTON",0.000212972197343833,0.00285350942331385,0.000291488590617533,0.0196078431372549,NA
"stateNEVADA",-0.000107565774312973,0.00137574650408864,0.000140533760375002,0.980392156862745,NA
"stateDISTRICT OF COLUMBIA",-0.000580238188929655,0.00115937094218965,0.000118430799345082,0.0196078431372549,NA
"stateNEW YORK",-1.20103473355081e-05,0.000677951180156978,6.92533314931043e-05,0.980392156862745,NA
"stateNEW HAMPSHIRE",0.000224515983455942,0.000415765932035249,4.24708692270579e-05,0.96078431372549,NA
"stateARIZONA",9.15304810726358e-06,0.000352875264926457,3.60465302118221e-05,0.0196078431372549,NA
"stateWEST VIRGINIA",1.85741374283965e-05,0.00020777544113134,2.12244508483087e-05,0.980392156862745,NA
"stateNORTH DAKOTA",-3.04048239116787e-05,0.000200254544485206,2.04561843952e-05,0.107843137254902,NA
"stateMONTANA",0.000137839291211076,0.000150991120451591,1.5423880691126e-05,0.980392156862745,NA
"stateMAINE",-0.000108637893943381,0.000111103061713306,1.13492791043579e-05,0.0196078431372549,NA
"stateLOUISIANA",1.25586782226438e-05,2.40303730053853e-05,2.45472452346725e-06,0.980392156862745,NA
"stateCALIFORNIA",-9.46677751997805e-06,1.17709397611678e-05,1.2024122342803e-06,0.0196078431372549,NA
"stateIOWA",9.38887414719704e-06,1.03409412259662e-05,1.05633657943736e-06,0.676470588235294,NA
"stateALABAMA",-6.7958302786471e-06,8.34120096531514e-06,8.52061287610439e-07,0.0196078431372549,NA
"stateCONNECTICUT",2.92126578731804e-06,4.46110865435484e-06,4.55706318551222e-07,0.980392156862745,NA
"stateVERMONT",3.26678074527848e-06,3.45390341303577e-06,3.5281938435854e-07,0.980392156862745,NA
"stateDELAWARE",0,0,0,0,NA
"stateIDAHO",0,0,0,0,NA
"stateTENNESSEE",0,0,0,0,NA
