"state","year","grade","score","median_income","total_pop","poverty_rate","child_poverty_rate","unemployment_rate","pct_black","pct_hispanic","bach_or_higher_rate","no_computer_rate","internet_rate","post2020"
"NEVADA",2015,4,214.425584466776,51847,2759180,0.154515834414572,0.221137350580798,0.104865943060322,0.0806757291766418,0.275331625834871,0.230065538464641,NA,NA,0
"NEW YORK",2015,4,222.646303197703,59269,19164034,0.156853353526716,0.222355939368666,0.0822257145404389,0.143942863515567,0.183989528075134,0.34208053933541,NA,NA,0
"OHIO",2015,4,224.930419714072,49429,11258461,0.157733459306738,0.227943995278685,0.0816661886773339,0.120381027018281,0.0337742550801544,0.260956304745707,NA,NA,0
"OKLAHOMA",2015,4,221.830510126344,46879,3734458,0.167104034909484,0.231646077218226,0.0631853987891163,0.0712293553864645,0.0964895487557189,0.241295546236415,NA,NA,0
"OREGON",2015,4,220.222719958397,51243,3862756,0.164894443242079,0.217044091493141,0.093228217525077,0.0175427551505585,0.12328440587292,0.307574811084608,NA,NA,0
"PENNSYLVANIA",2015,4,226.670774068,53599,12365782,0.134772633061136,0.192444505505582,0.0790244475809137,0.105402698168223,0.0638158171185719,0.286136255132678,NA,NA,0
"RHODE ISLAND",2015,4,225.485536668854,56852,1013455,0.142308242595873,0.204123789132137,0.085455392630977,0.0534270510154594,0.136465143912511,0.318906362530025,NA,NA,0
"SOUTH CAROLINA",2015,4,217.969676534277,45483,4636314,0.179215859840382,0.262645255101706,0.0950515229253143,0.273037833411755,0.0531842926203581,0.258423112472963,NA,NA,0
"SOUTH DAKOTA",2015,4,220.469524583778,50957,814079,0.141149691860372,0.186028176232033,0.0448264471604374,0.0151709579098424,0.0331052313239009,0.270037148005858,NA,NA,0
"TENNESSEE",2015,4,218.613264393701,45219,6339352,0.176294674913146,0.255806132757508,0.0844037110159336,0.166723721328109,0.0492475323538394,0.24937603252576,NA,NA,0
"TEXAS",2015,4,217.942913018264,53207,25923852,0.17252262510988,0.247433395012716,0.0701249314756738,0.115711430898388,0.384208723183509,0.275763588774638,NA,NA,0
"UTAH",2015,4,226.143074882684,60727,2855909,0.123113516572132,0.142681762995172,0.0576745876763629,0.0101433536579275,0.134276648002207,0.311215877691886,NA,NA,0
"VIRGINIA",2015,4,228.971255010227,65015,8008050,0.115111918631877,0.152392723071224,0.0646925096090747,0.188977343056429,0.0858892792822253,0.363291680237742,NA,NA,0
"VERMONT",2015,4,230.098616569303,55176,601732,0.115056204423232,0.15052130026231,0.0548383084217317,0.010727668511532,0.0170618125642351,0.359591166522007,NA,NA,0
"WASHINGTON",2015,4,225.892889059031,61062,6850693,0.132616072563754,0.175088108368828,0.0785276690986728,0.0348990417816197,0.119603794393615,0.328740947143646,NA,NA,0
"WISCONSIN",2015,4,223.356355512935,53357,5589889,0.129581821749949,0.178249215099654,0.062968269696047,0.0617131277541018,0.0634884311831333,0.27825016478967,NA,NA,0
"WEST VIRGINIA",2015,4,216.253287883864,41751,1797793,0.179878328595116,0.250855766726716,0.0777578496255185,0.0326225275734301,0.0137235203249398,0.191564249166871,NA,NA,0
"WYOMING",2015,4,228.160802772906,58840,565647,0.114903818105638,0.145541398918903,0.0485578619263249,0.0103057036739299,0.0960842121242964,0.257109547403922,NA,NA,0
"ALASKA",2017,4,207.037630115797,76114,719983,0.101919073089226,0.141262674532292,0.0770295599763291,0.0305105170161056,0.067918192711542,0.289879732964273,0.261042317687265,0.834273133335445,0
"ALABAMA",2017,4,216.419813531011,46472,4729116,0.179673960207362,0.259689765650576,0.0744702598045837,0.264070598261596,0.0408955607263258,0.245244743314563,0.232528194034809,0.708513783900964,0
"ARKANSAS",2017,4,216.108025728181,43813,2890095,0.181381926891677,0.25680430993778,0.0625176254935138,0.153545869230583,0.0716084654378994,0.220281301459887,0.242722603035557,0.674209943248923,0
"ARIZONA",2017,4,215.465951944676,53510,6654096,0.169526559280179,0.240101605897254,0.0710456185636716,0.0405503949664212,0.308889820859079,0.284456868921156,0.243286633482189,0.799571850586006,0
"CALIFORNIA",2017,4,215.421814242133,67169,38242946,0.150966612247916,0.207738755199107,0.0765276536727291,0.0554464121104341,0.387500174115041,0.325759712083064,0.238210128451008,0.83088893902978,0
"COLORADO",2017,4,224.691618694193,65458,5316870,0.115132211244586,0.145443952685238,0.05247496337024,0.0386065053759584,0.21285679310603,0.394297960706855,0.234784698243606,0.845415026234904,0
"CONNECTICUT",2017,4,228.35531240737,73781,3486033,0.100625266599599,0.135093768061064,0.0723158313452887,0.0975997071062892,0.153545521769781,0.384308411452338,0.21870568250063,0.825495775671835,0
"DISTRICT OF COLUMBIA",2017,4,213.382008766233,77649,638362,0.173921693333876,0.254939945757458,0.0804128746979279,0.468713888198979,0.10682623652012,0.565924372649594,0.185600736185843,0.779516880407216,0
"DELAWARE",2017,4,221.482217417377,63036,918100,0.121232981156737,0.173762223263325,0.0641112604343752,0.213419699660497,0.0898486010859015,0.309680142431777,0.221447271737651,0.80161597470747,0
"FLORIDA",2017,4,228.272622052382,50883,19858469,0.154642938486346,0.222941650417726,0.0719427369908086,0.154321778191397,0.247307646389292,0.284512310515942,0.206554248486406,0.791566955784953,0
"GEORGIA",2017,4,219.682925180546,52977,9931935,0.169053663762399,0.240437686278839,0.0748318407040899,0.308824418830903,0.0931595768717465,0.299310289810342,0.25087706223901,0.77242606270529,0
"HAWAII",2017,4,216.364536553619,74923,1383246,0.103487015324823,0.129404427814157,0.0486873670585636,0.0168655189926128,0.10226158471306,0.320373455786736,0.222185198252469,0.824222506158041,0
"IOWA",2017,4,221.74726754679,56570,3016358,0.1197944673676,0.147541694649653,0.0413594481092276,0.0334158407903269,0.0571802975014929,0.276812768809535,0.240552970041767,0.775482647231075,0
"IDAHO",2017,4,222.791065689088,50985,1626557,0.145091749013407,0.178312117365985,0.0535129572457667,0.00643065087864847,0.121866204087789,0.267659363961577,0.266287146811511,0.78168156237482,0
"ILLINOIS",2017,4,220.365898453327,61229,12551822,0.135328002580024,0.188454864088125,0.0736269630147807,0.140526223993012,0.168195233336492,0.334474679956183,0.235266622223854,0.789919874681744,0
"INDIANA",2017,4,226.417994745998,52182,6412384,0.145583920114578,0.203905365750058,0.0607844174677604,0.0913533133225024,0.0668188796051293,0.253191533673224,0.244703436319694,0.758561936063888,0
"KANSAS",2017,4,223.268429173451,55477,2820265,0.128103210159329,0.164147039202162,0.0476233590466878,0.0563016991411313,0.115317065107341,0.323492201632338,0.253741127969739,0.780956786574719,0
"KENTUCKY",2017,4,224.080585290071,46535,4287887,0.1827440881721,0.247121761161187,0.067689274975263,0.078761841217835,0.0343714006223702,0.231922922752302,0.235090939371035,0.735207716492879,0
"LOUISIANA",2017,4,211.600527874868,46710,4531570,0.195864567909135,0.277012553926624,0.0718261177907023,0.319515913181219,0.04968584491218,0.233970199241996,0.244918307853747,0.707452327719413,0
"MASSACHUSETTS",2017,4,235.699696767687,74167,6552347,0.111035938725467,0.14610127377872,0.0599531585952698,0.066823049557695,0.111966605192656,0.420874503031529,0.210617088605175,0.834774520780519,0
"MARYLAND",2017,4,225.04933454894,78916,5856088,0.0968165095879707,0.128905630064316,0.0612425972479962,0.292548347011439,0.0956129830844457,0.389946396309835,0.229716796821632,0.833538964179886,0
"MAINE",2017,4,221.388602644001,53024,1294998,0.128883596731424,0.167199661860406,0.0528984892513548,0.012077512596248,0.0153568222722413,0.302810570542074,0.197719377410741,0.787238228281724,0
"MICHIGAN",2017,4,217.753242013193,52668,9698121,0.155786981828748,0.21740252914577,0.0740047371348561,0.136940072346489,0.0488201783515059,0.280810842664225,0.227184048465996,0.770208447876202,0
"MINNESOTA",2017,4,224.538513441395,65699,5366210,0.104542125634293,0.133693561449686,0.0430071313870994,0.0585611083124527,0.0518417783003559,0.347631066307432,0.239321733968741,0.816863907798711,0
"MISSOURI",2017,4,222.681081128122,51542,5891760,0.146251544529988,0.200285112797014,0.0578051149537083,0.114914489819433,0.0402317581024805,0.28186587561756,0.234465989058454,0.757898217377147,0
"MISSISSIPPI",2017,4,215.203305690064,42009,2890123,0.214526163765348,0.30187504895324,0.0879253277436635,0.374539719109778,0.0295560943266069,0.213341744623616,0.250107014257273,0.649378258907454,0
"MONTANA",2017,4,222.326721838733,50801,1004612,0.143536011913057,0.175726515847757,0.047939954614192,0.00396169583885996,0.0355639881848248,0.307291037747241,0.224706125633477,0.771688790999464,0
"NORTH CAROLINA",2017,4,223.930906236334,50320,9783738,0.161479283275983,0.229068436733496,0.0715549527990028,0.211617056106283,0.0910008630633936,0.298599891981896,0.233496416600094,0.763865436902125,0
"NORTH DAKOTA",2017,4,221.519265852407,61285,719722,0.110284248640447,0.124387456546063,0.0269354787760091,0.0228230322948456,0.0331922599684765,0.288924591649674,0.236217132573919,0.780868309124468,0
"NEBRASKA",2017,4,224.096224936306,56675,1839825,0.119755955050073,0.155866463919178,0.0378921291067024,0.0460737274680412,0.104703416879585,0.305915992485261,0.254094208190643,0.792454620158871,0
"NEW HAMPSHIRE",2017,4,228.900649270634,71305,1289255,0.0810312932662662,0.100319952450975,0.0449350058233711,0.0121387725926682,0.0339873619211802,0.360370889575091,0.203950556782857,0.851650813540658,0
"NEW JERSEY",2017,4,232.943318467524,76475,8783989,0.106813886037426,0.152656006423891,0.0695830597191674,0.126822163128542,0.196929497137384,0.38091347419788,0.227274835688852,0.829512323892481,0
"NEW MEXICO",2017,4,207.704353543603,46718,2043896,0.205633261183544,0.290701769743954,0.077352449494234,0.0178849286367988,0.481623903746496,0.268736202890788,0.242976853983211,0.707314698838968,0
"NEVADA",2017,4,214.841696166346,55434,2846365,0.14237913970977,0.202731540112386,0.0797760494167639,0.0840391657792899,0.281988416487027,0.236847333593154,0.234674919993558,0.79900479829394,0
"NEW YORK",2017,4,221.884015359739,62765,19285448,0.150811689725849,0.212712293459751,0.0675039956174525,0.14359209319137,0.188210682289344,0.352893668303246,0.217406457725216,0.794263773311552,0
"OHIO",2017,4,225.261138107432,52407,11289161,0.149159888852679,0.213406830084601,0.0645543697156001,0.121338295137297,0.0357018700479149,0.272386681287754,0.232081582865509,0.778148752089563,0
"OKLAHOMA",2017,4,216.587775171729,49767,3780828,0.162058152341233,0.224457415341439,0.056904277689635,0.0715782941088754,0.10134845008702,0.248430382284937,0.251815486997339,0.733654374388603,0
"OREGON",2017,4,217.531072963868,56119,3947954,0.148747427148341,0.190368957719535,0.0682463804059242,0.0180456417896876,0.126581596058957,0.322709852524328,0.218813962549983,0.826164029597278,0
"PENNSYLVANIA",2017,4,224.924702323396,56951,12377251,0.131171049209554,0.185743040657673,0.0647363787627936,0.10619307056289,0.0683970648539678,0.300836500035505,0.216715654646109,0.776459917059449,0
"RHODE ISLAND",2017,4,223.353442679692,61043,1015923,0.133992438403304,0.188747967166736,0.068414481897628,0.0547845073276409,0.145729061921832,0.329643296432964,0.206858009109448,0.804530274641529,0
"SOUTH CAROLINA",2017,4,213.127835391026,48781,4751345,0.166406985811386,0.245369619786105,0.0724096384004954,0.269997776617041,0.0546441320264419,0.270050736693909,0.228671606250602,0.730000475603415,0
"SOUTH DAKOTA",2017,4,221.750122908674,54126,826297,0.139035964066189,0.183844997332557,0.0373728744699214,0.0167071134989549,0.0349537783887665,0.278474148464605,0.254971660076742,0.764978288919395,0
"TENNESSEE",2017,4,218.952797117684,48708,6436601,0.166603460428882,0.242528031125256,0.0657099938080032,0.166599139870806,0.0515451510228074,0.260530540700466,0.231901865246295,0.730350731039724,0
"TEXAS",2017,4,214.87849345961,57051,26794198,0.160160942305495,0.228741300886283,0.0582522268699536,0.11666911989856,0.389280089010742,0.287055762516693,0.268446858481851,0.772920482112195,0
